SEASON,BATTER,RUNS,RN,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009/10,SR Tendulkar,618,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,B Sai Sudharsan,759,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpfSe19yxt7vUqCQNunka3ngiD1Xl2ow-1UQ&s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MEK Hussey,733,1,https://static-files.cricket-australia.pulselive.com/headshots/440/1624-camedia.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,V Kohli,228,1,https://documents.iplt20.com/ipl/IPLHeadshot2026/2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,V Kohli,741,1,https://documents.iplt20.com/ipl/IPLHeadshot2026/2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ML Hayden,572,1,https://upload.wikimedia.org/wikipedia/commons/5/50/Matthew_Hayden_Image.jpg?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Shubman Gill,890,1,https://documents.iplt20.com/ipl/IPLHeadshot2026/62.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,DA Warner,562,1,https://documents.iplt20.com/ipl/IPLHeadshot2024/214.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,DA Warner,641,1,https://documents.iplt20.com/ipl/IPLHeadshot2024/214.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CH Gayle,733,1,https://documents.iplt20.com/playerheadshot/ipl/284/236.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,JC Buttler,863,1,https://documents.iplt20.com/ipl/IPLHeadshot2026/182.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,DA Warner,692,1,https://documents.iplt20.com/ipl/IPLHeadshot2024/214.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/21,KL Rahul,676,1,https://documents.iplt20.com/ipl/IPLHeadshot2026/19.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,RV Uthappa,660,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqI0iVy_5Ncx2-xf5aCVS4dDyQ4g58LPHX5w&s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,RD Gaikwad,635,1,https://documents.iplt20.com/ipl/IPLHeadshot2026/102.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007/08,SE Marsh,616,1,https://admin.thecricketer.com/weblab/Sites/96c8b790-b593-bfda-0ba4-ecd3a9fdefc2/resources/images/site/smarshheadshot-min.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,KS Williamson,735,1,https://admin.thecricketer.com/weblab/Sites/96c8b790-b593-bfda-0ba4-ecd3a9fdefc2/resources/images/site/kanewilliamsonheadshot-min.jpg,,,,,,,,,,,,,,,,,,,,,,,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png",,,
2011,CH Gayle,608,1,https://documents.iplt20.com/playerheadshot/ipl/284/236.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316486.6.png"
2016,V Kohli,973,1,https://documents.iplt20.com/ipl/IPLHeadshot2026/2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
